Ground Truth Prog,Synthesized Prog,Dataset,Total Time,Description,AST Depth,AST Size,# Example Images,# Objects,Example Images
"Map(Union[GetFace(34), Smile, EyesOpen], IsObject(Person), GetBelow)","Map(EyesOpen, IsObject(Person), GetRight)",wedding,0.016073908074758947,"Bodies of faces that have id 34, are smiling, or have eyes open",5,12,1,4,6,"['test_images/wedding/Ana Maria Photography-178.jpg', 'test_images/wedding/Ana Maria Photography-133.jpg', 'test_images/wedding/Ana Maria Photography-37.jpg', 'test_images/wedding/Ana Maria Photography-17.jpg', 'test_images/wedding/Ana Maria Photography-108.jpg', 'test_images/wedding/Ana Maria Photography-41.jpg', 'test_images/wedding/Ana Maria Photography-138.jpg', 'test_images/wedding/Ana Maria Photography-172.jpg']"
"Map(Union[GetFace(34), Smile, EyesOpen], IsObject(Person), GetBelow)","Map(GetFace(32), IsObject(Person), GetRight)",wedding,0.02014280401635915,"Bodies of faces that have id 34, are smiling, or have eyes open",5,12,2,8,9,"['test_images/wedding/Ana Maria Photography-178.jpg', 'test_images/wedding/Ana Maria Photography-133.jpg', 'test_images/wedding/Ana Maria Photography-37.jpg', 'test_images/wedding/Ana Maria Photography-17.jpg', 'test_images/wedding/Ana Maria Photography-108.jpg', 'test_images/wedding/Ana Maria Photography-41.jpg', 'test_images/wedding/Ana Maria Photography-138.jpg', 'test_images/wedding/Ana Maria Photography-172.jpg']"
"Map(Union[GetFace(34), Smile, EyesOpen], IsObject(Person), GetBelow)","Map(EyesOpen, IsObject(Person), GetBelow)",wedding,0.044968856032937765,"Bodies of faces that have id 34, are smiling, or have eyes open",5,12,3,12,11,"['test_images/wedding/Ana Maria Photography-178.jpg', 'test_images/wedding/Ana Maria Photography-133.jpg', 'test_images/wedding/Ana Maria Photography-37.jpg', 'test_images/wedding/Ana Maria Photography-17.jpg', 'test_images/wedding/Ana Maria Photography-108.jpg', 'test_images/wedding/Ana Maria Photography-41.jpg', 'test_images/wedding/Ana Maria Photography-138.jpg', 'test_images/wedding/Ana Maria Photography-172.jpg']"
"Map(Union[GetFace(34), Smile, EyesOpen], IsObject(Person), GetBelow)","Map(MouthOpen, IsObject(Person), GetBelow)",wedding,0.08927086996845901,"Bodies of faces that have id 34, are smiling, or have eyes open",5,12,4,22,15,"['test_images/wedding/Ana Maria Photography-178.jpg', 'test_images/wedding/Ana Maria Photography-133.jpg', 'test_images/wedding/Ana Maria Photography-37.jpg', 'test_images/wedding/Ana Maria Photography-17.jpg', 'test_images/wedding/Ana Maria Photography-108.jpg', 'test_images/wedding/Ana Maria Photography-41.jpg', 'test_images/wedding/Ana Maria Photography-138.jpg', 'test_images/wedding/Ana Maria Photography-172.jpg']"
"Map(Union[GetFace(34), Smile, EyesOpen], IsObject(Person), GetBelow)","Map(Smile, IsObject(Person), GetBelow)",wedding,0.12756750406697392,"Bodies of faces that have id 34, are smiling, or have eyes open",5,12,5,27,17,"['test_images/wedding/Ana Maria Photography-178.jpg', 'test_images/wedding/Ana Maria Photography-133.jpg', 'test_images/wedding/Ana Maria Photography-37.jpg', 'test_images/wedding/Ana Maria Photography-17.jpg', 'test_images/wedding/Ana Maria Photography-108.jpg', 'test_images/wedding/Ana Maria Photography-41.jpg', 'test_images/wedding/Ana Maria Photography-138.jpg', 'test_images/wedding/Ana Maria Photography-172.jpg']"
"Map(Union[GetFace(34), Smile, EyesOpen], IsObject(Person), GetBelow)","Map(IsFace, IsObject(Person), GetBelow)",wedding,0.1693195760017261,"Bodies of faces that have id 34, are smiling, or have eyes open",5,12,6,33,19,"['test_images/wedding/Ana Maria Photography-178.jpg', 'test_images/wedding/Ana Maria Photography-133.jpg', 'test_images/wedding/Ana Maria Photography-37.jpg', 'test_images/wedding/Ana Maria Photography-17.jpg', 'test_images/wedding/Ana Maria Photography-108.jpg', 'test_images/wedding/Ana Maria Photography-41.jpg', 'test_images/wedding/Ana Maria Photography-138.jpg', 'test_images/wedding/Ana Maria Photography-172.jpg']"
"Map(Union[GetFace(34), Smile, EyesOpen], IsObject(Person), GetBelow)","Map(Union[GetFace(7), EyesOpen], IsObject(Person), GetBelow)",wedding,5.2166693289764225,"Bodies of faces that have id 34, are smiling, or have eyes open",5,12,7,36,20,"['test_images/wedding/Ana Maria Photography-178.jpg', 'test_images/wedding/Ana Maria Photography-133.jpg', 'test_images/wedding/Ana Maria Photography-37.jpg', 'test_images/wedding/Ana Maria Photography-17.jpg', 'test_images/wedding/Ana Maria Photography-108.jpg', 'test_images/wedding/Ana Maria Photography-41.jpg', 'test_images/wedding/Ana Maria Photography-138.jpg', 'test_images/wedding/Ana Maria Photography-172.jpg']"
"Map(Union[GetFace(34), Smile, EyesOpen], IsObject(Person), GetBelow)",(fail),wedding,180.01901399402414,"Bodies of faces that have id 34, are smiling, or have eyes open",5,12,8,51,25,"['test_images/wedding/Ana Maria Photography-178.jpg', 'test_images/wedding/Ana Maria Photography-133.jpg', 'test_images/wedding/Ana Maria Photography-37.jpg', 'test_images/wedding/Ana Maria Photography-17.jpg', 'test_images/wedding/Ana Maria Photography-108.jpg', 'test_images/wedding/Ana Maria Photography-41.jpg', 'test_images/wedding/Ana Maria Photography-138.jpg', 'test_images/wedding/Ana Maria Photography-172.jpg']"
