Ground Truth Prog,Synthesized Prog,Dataset,Correct,Total Time,# Examples,# Objects,Ending condition,Description,AST Depth,AST Size
"Map(Union[GetFace(34), Smile, EyesOpen], IsObject(Person), GetBelow)","Map(Union[EyesOpen, MouthOpen], IsObject(Person), GetBelow)",wedding,True,1.3100688609993085,3,49,25,"Bodies of faces that have id 34, are smiling, or have eyes open",5,12
"Intersection[Complement(Smile), Map(IsFace, IsFace, GetAbove)]",None,wedding,False,0,11,61,30,All faces in back that are not smiling,4,9
"Intersection[Smile, EyesOpen]",TIMEOUT,wedding,False,180.00567850994412,8,43,21,All faces that are smiling and have eyes open,3,5
"Intersection[IsFace, Complement(Intersection[Smile, EyesOpen])]",TIMEOUT,wedding,False,181.59234962402843,7,33,19,All faces that are not smiling and have eyes open,5,9
"Intersection[Smile, EyesOpen, Complement(GetFace(8))]","Intersection[Smile, EyesOpen, Complement(GetFace(8))]",wedding,True,2.500659780926071,7,30,17,"All faces that are smiling and have eyes open, except face 8",5,9
"Union[GetFace(8), Intersection[Smile, EyesOpen]]","Union[GetFace(8), Intersection[Smile, EyesOpen]]",wedding,True,3.4113597030518577,7,33,20,"Face with id 8, plus faces that are smiling and have eyes open",4,9
"Union[Intersection[IsFace, Complement(Smile)], BelowAge(18)]","Union[BelowAge(18), Intersection[IsFace, Complement(Smile)]]",wedding,True,4.36513237899635,5,18,17,Faces that are not smiling or are below 18,5,10
